     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2311450893E+03    0.7290000000E+01    0.0000000000E+00
         2    0.2350000000E+03    0.2310144588E+03    0.7230000000E+01    0.0000000000E+00
         3    0.2350000000E+03    0.2317329268E+03    0.7560000000E+01    0.0000000000E+00
         4    0.2410000000E+03    0.2310797741E+03    0.7260000000E+01    0.0000000000E+00
         5    0.2250000000E+03    0.2279446409E+03    0.5820000000E+01    0.0000000000E+00
         6    0.2450000000E+03    0.2305572519E+03    0.7020000000E+01    0.0000000000E+00
         7    0.2550000000E+03    0.2321901337E+03    0.7770000000E+01    0.0000000000E+00
         8    0.2450000000E+03    0.2316022963E+03    0.7500000000E+01    0.0000000000E+00
         9    0.2750000000E+03    0.2323860796E+03    0.7860000000E+01    0.0000000000E+00
        10    0.2390000000E+03    0.2282712173E+03    0.5970000000E+01    0.0000000000E+00
        11    0.2550000000E+03    0.2284018478E+03    0.6030000000E+01    0.0000000000E+00
        12    0.3970000000E+03    0.4245802436E+03    0.9376500000E+02    0.1666666667E+01
        13    0.4190000000E+03    0.4632093617E+03    0.9490500000E+02    0.1333333333E+02
        14    0.4010000000E+03    0.4291236253E+03    0.9348000000E+02    0.3333333333E+01
        15    0.3940000000E+03    0.4795421504E+03    0.1000350000E+03    0.1500000000E+02
        16    0.4260000000E+03    0.4162931441E+03    0.8521500000E+02    0.5000000000E+01
        17    0.4260000000E+03    0.4804544551E+03    0.1054500000E+03    0.1148936170E+02
        18    0.4540000000E+03    0.4489979316E+03    0.8749500000E+02    0.1395348837E+02
        19    0.4180000000E+03    0.4154597528E+03    0.8692500000E+02    0.3529411765E+01
        20    0.4160000000E+03    0.4775307281E+03    0.1008900000E+03    0.1375000000E+02
        21    0.3950000000E+03    0.4276827191E+03    0.9519000000E+02    0.1666666667E+01
        22    0.4330000000E+03    0.4450825505E+03    0.1011750000E+03    0.3076923077E+01
        23    0.3790000000E+03    0.4537502464E+03    0.8920500000E+02    0.1428571429E+02
        24    0.3820000000E+03    0.3887657017E+03    0.7731500000E+02    0.1666666667E+01
        25    0.3850000000E+03    0.4269593846E+03    0.7825500000E+02    0.1333333333E+02
        26    0.3650000000E+03    0.3934179422E+03    0.7708000000E+02    0.3333333333E+01
        27    0.3790000000E+03    0.4413327151E+03    0.8248500000E+02    0.1500000000E+02
        28    0.3770000000E+03    0.3837443659E+03    0.7026500000E+02    0.5000000000E+01
        29    0.3940000000E+03    0.4401767028E+03    0.8695000000E+02    0.1148936170E+02
        30    0.4250000000E+03    0.4155782830E+03    0.7214500000E+02    0.1395348837E+02
        31    0.3950000000E+03    0.3822578219E+03    0.7167500000E+02    0.3529411765E+01
        32    0.3930000000E+03    0.4389947164E+03    0.8319000000E+02    0.1375000000E+02
        33    0.3750000000E+03    0.3913238832E+03    0.7849000000E+02    0.1666666667E+01
        34    0.3890000000E+03    0.4064376800E+03    0.8342500000E+02    0.3076923077E+01
        35    0.3580000000E+03    0.4196774451E+03    0.7355500000E+02    0.1428571429E+02
        36    0.3440000000E+03    0.3529511597E+03    0.6086500000E+02    0.1666666667E+01
        37    0.3690000000E+03    0.3907094075E+03    0.6160500000E+02    0.1333333333E+02
