     Index       y_measurement           y_fitting        descriptor_1
         1    0.2320000000E+03    0.2930458546E+03    0.0000000000E+00
         2    0.2350000000E+03    0.2930458546E+03    0.0000000000E+00
         3    0.2350000000E+03    0.2930458546E+03    0.0000000000E+00
         4    0.2410000000E+03    0.2930458546E+03    0.0000000000E+00
         5    0.2250000000E+03    0.2930458546E+03    0.0000000000E+00
         6    0.2450000000E+03    0.2930458546E+03    0.0000000000E+00
         7    0.2550000000E+03    0.2930458546E+03    0.0000000000E+00
         8    0.2450000000E+03    0.2930458546E+03    0.0000000000E+00
         9    0.2750000000E+03    0.2930458546E+03    0.0000000000E+00
        10    0.2390000000E+03    0.2930458546E+03    0.0000000000E+00
        11    0.2550000000E+03    0.2930458546E+03    0.0000000000E+00
        12    0.3970000000E+03    0.3603046600E+03    0.2067187500E+04
        13    0.4190000000E+03    0.4666169654E+03    0.5334677419E+04
        14    0.4010000000E+03    0.4125194551E+03    0.3672000000E+04
        15    0.3940000000E+03    0.4788172285E+03    0.5709650350E+04
        16    0.4260000000E+03    0.4172883594E+03    0.3818571429E+04
        17    0.4260000000E+03    0.4683030848E+03    0.5386500000E+04
        18    0.4540000000E+03    0.4726294160E+03    0.5519469027E+04
        19    0.4180000000E+03    0.3939586997E+03    0.3101538462E+04
        20    0.4160000000E+03    0.4855686419E+03    0.5917153846E+04
        21    0.3950000000E+03    0.3582665144E+03    0.2004545455E+04
        22    0.4330000000E+03    0.4068093198E+03    0.3496500000E+04
        23    0.3790000000E+03    0.4612339297E+03    0.5169230769E+04
        24    0.3820000000E+03    0.3496286592E+03    0.1739062500E+04
        25    0.3850000000E+03    0.4390659954E+03    0.4487903226E+04
        26    0.3650000000E+03    0.3935553915E+03    0.3089142857E+04
        27    0.3790000000E+03    0.4493297088E+03    0.4803356643E+04
        28    0.3770000000E+03    0.3975673269E+03    0.3212448980E+04
        29    0.3940000000E+03    0.4404844768E+03    0.4531500000E+04
        30    0.4250000000E+03    0.4441240888E+03    0.4643362832E+04
        31    0.3950000000E+03    0.3779407878E+03    0.2609230769E+04
        32    0.3930000000E+03    0.4550094693E+03    0.4977923077E+04
        33    0.3750000000E+03    0.3479140287E+03    0.1686363636E+04
        34    0.3890000000E+03    0.3887516269E+03    0.2941500000E+04
        35    0.3580000000E+03    0.4345374099E+03    0.4348717949E+04
