Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
1    232    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.21    0.44    0.017    0.022    0.01    0.02    0.01    0
2    235    885    30    30    30    30    30    0    0    0    0    0    0    0.25    0.18    0.44    0.009    0.017    0.08    0.12    0.08    0
3    235    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.27    0.43    0.008    0.015    0.02    0.03    0.01    0
4    241    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.23    0.51    0.018    0.024    0.01    0.02    0.01    0
5    225    885    30    30    30    30    30    0    0    0    0    0    0    0.22    0.19    0.42    0.026    0.022    0.01    0.02    0.02    0
6    245    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.22    0.45    0.026    0.026    0.02    0.05    0.03    0
7    255    885    30    30    30    30    30    0    0    0    0    0    0    0.28    0.27    0.5    0.021    0.018    0.02    0.03    0.01    0
8    245    885    30    30    30    30    30    0    0    0    0    0    0    0.27    0.25    0.54    0.02    0.021    0.01    0.02    0.02    0
9    275    885    30    30    30    30    30    0    0    0    0    0    0    0.27    0.23    0.37    0.008    0.03    0.06    0.1    0.09    0
10    239    885    30    30    30    30    30    0    0    0    0    0    0    0.22    0.26    0.47    0.021    0.023    0.02    0.02    0.01    0
11    255    885    30    30    30    30    30    0    0    0    0    0    0    0.23    0.26    0.51    0.029    0.024    0.01    0.03    0.03    0
12    397    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
13    419    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
14    401    865    865    30    30    30    550    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
15    394    865    865    30    30    30    550    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
16    426    865    865    30    30    30    550    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
17    426    865    865    30    30    30    550    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
18    454    865    865    30    30    30    550    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
19    418    865    865    30    30    30    550    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
20    416    865    865    30    30    30    550    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
21    395    865    865    30    30    30    550    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
22    433    865    865    30    30    30    550    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
23    379    865    865    30    30    30    550    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
24    382    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
25    385    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
26    365    865    865    30    30    30    600    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
27    379    865    865    30    30    30    600    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
28    377    865    865    30    30    30    600    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
29    394    865    865    30    30    30    600    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
30    425    865    865    30    30    30    600    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
31    395    865    865    30    30    30    600    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
32    393    865    865    30    30    30    600    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
33    375    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
34    389    865    865    30    30    30    600    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
35    358    865    865    30    30    30    600    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
36    344    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.21    0.77    0.021    0.022    0.01    0.01    0.02    0
37    369    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.3    0.74    0.017    0.024    0.01    0.1    0.01    0
38    325    865    865    30    30    30    650    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
39    338    865    865    30    30    30    650    30    0    0    60    24    24    0.36    0.26    0.7    0.009    0.023    0.08    0.12    0.09    0
40    362    865    865    30    30    30    650    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
41    361    865    865    30    30    30    650    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
42    385    865    865    30    30    30    650    30    0    0    60    24    24    0.33    0.26    0.76    0.023    0.013    0.01    0.1    0.03    0
43    348    865    865    30    30    30    650    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
44    368    865    865    30    30    30    650    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
45    341    865    865    30    30    30    650    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
46    365    865    865    30    30    30    650    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
47    325    865    865    30    30    30    650    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
48    513    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
49    448    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
50    465    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
51    446    845    845    30    30    30    550    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
52    437    845    845    30    30    30    550    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
53    502    845    845    30    30    30    550    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
54    465    845    845    30    30    30    550    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
55    475    845    845    30    30    30    550    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
56    504    845    845    30    30    30    550    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
57    486    845    845    30    30    30    550    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
58    452    845    845    30    30    30    550    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
59    459    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
60    415    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
61    437    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
62    415    845    845    30    30    30    600    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
63    401    845    845    30    30    30    600    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
64    463    845    845    30    30    30    600    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
65    442    845    845    30    30    30    600    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
66    438    845    845    30    30    30    600    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
67    468    845    845    30    30    30    600    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
68    452    845    845    30    30    30    600    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
69    422    845    845    30    30    30    600    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
70    413    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.25    0.79    0.018    0.016    0.02    0.13    0.02    0
71    395    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
72    398    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
73    378    845    845    30    30    30    650    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
74    372    845    845    30    30    30    650    30    0    0    60    24    24    0.42    0.22    0.78    0.022    0.02    0.01    0.02    0.03    0
75    415    845    845    30    30    30    650    30    0    0    60    24    24    0.48    0.25    0.75    0.024    0.022    0.02    0.1    0.01    0
76    396    845    845    30    30    30    650    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
77    388    845    845    30    30    30    650    30    0    0    60    24    24    0.43    0.22    0.83    0.017    0.016    0.01    0.12    0.01    0
78    415    845    845    30    30    30    650    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
79    398    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
80    382    845    845    30    30    30    650    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
81    523    825    825    30    30    30    550    30    0    0    60    24    24    0.55    0.23    0.76    0.018    0.012    0.01    0.09    0.01    0
