     Index       y_measurement           y_fitting        descriptor_1
         1    0.2320000000E+03    0.3086670910E+03    0.7800000000E+01
         2    0.2350000000E+03    0.3080660986E+03    0.7500000000E+01
         3    0.2350000000E+03    0.3086670910E+03    0.7800000000E+01
         4    0.2410000000E+03    0.3086670910E+03    0.7800000000E+01
         5    0.2250000000E+03    0.3062631214E+03    0.6600000000E+01
         6    0.2450000000E+03    0.3086670910E+03    0.7800000000E+01
         7    0.2550000000E+03    0.3098690757E+03    0.8400000000E+01
         8    0.2450000000E+03    0.3092680834E+03    0.8100000000E+01
         9    0.2750000000E+03    0.3092680834E+03    0.8100000000E+01
        10    0.2390000000E+03    0.3062631214E+03    0.6600000000E+01
        11    0.2550000000E+03    0.3068641138E+03    0.6900000000E+01
        12    0.3970000000E+03    0.4928712564E+03    0.9975000000E+02
        13    0.4190000000E+03    0.4928712564E+03    0.9975000000E+02
        14    0.4010000000E+03    0.4871618287E+03    0.9690000000E+02
        15    0.3940000000E+03    0.4985806840E+03    0.1026000000E+03
        16    0.4260000000E+03    0.4814524011E+03    0.9405000000E+02
        17    0.4260000000E+03    0.5099995393E+03    0.1083000000E+03
        18    0.4540000000E+03    0.4814524011E+03    0.9405000000E+02
        19    0.4180000000E+03    0.4757429735E+03    0.9120000000E+02
        20    0.4160000000E+03    0.5042901117E+03    0.1054500000E+03
        21    0.3950000000E+03    0.4928712564E+03    0.9975000000E+02
        22    0.4330000000E+03    0.5042901117E+03    0.1054500000E+03
        23    0.3790000000E+03    0.4757429735E+03    0.9120000000E+02
        24    0.3820000000E+03    0.4578133674E+03    0.8225000000E+02
        25    0.3850000000E+03    0.4578133674E+03    0.8225000000E+02
        26    0.3650000000E+03    0.4531055937E+03    0.7990000000E+02
        27    0.3790000000E+03    0.4625211410E+03    0.8460000000E+02
        28    0.3770000000E+03    0.4483978200E+03    0.7755000000E+02
        29    0.3940000000E+03    0.4719366884E+03    0.8930000000E+02
        30    0.4250000000E+03    0.4483978200E+03    0.7755000000E+02
        31    0.3950000000E+03    0.4436900464E+03    0.7520000000E+02
        32    0.3930000000E+03    0.4672289147E+03    0.8695000000E+02
        33    0.3750000000E+03    0.4578133674E+03    0.8225000000E+02
        34    0.3890000000E+03    0.4672289147E+03    0.8695000000E+02
        35    0.3580000000E+03    0.4436900464E+03    0.7520000000E+02
        36    0.3440000000E+03    0.4227554784E+03    0.6475000000E+02
        37    0.3690000000E+03    0.4227554784E+03    0.6475000000E+02
        38    0.3250000000E+03    0.4190493587E+03    0.6290000000E+02
        39    0.3380000000E+03    0.4264615981E+03    0.6660000000E+02
        40    0.3620000000E+03    0.4153432390E+03    0.6105000000E+02
        41    0.3610000000E+03    0.4338738374E+03    0.7030000000E+02
        42    0.3850000000E+03    0.4153432390E+03    0.6105000000E+02
        43    0.3480000000E+03    0.4116371193E+03    0.5920000000E+02
        44    0.3680000000E+03    0.4301677178E+03    0.6845000000E+02
        45    0.3410000000E+03    0.4227554784E+03    0.6475000000E+02
        46    0.3650000000E+03    0.4301677178E+03    0.6845000000E+02
        47    0.3250000000E+03    0.4116371193E+03    0.5920000000E+02
        48    0.5130000000E+03    0.5319357613E+03    0.1192500000E+03
        49    0.4480000000E+03    0.5319357613E+03    0.1192500000E+03
        50    0.4650000000E+03    0.5319357613E+03    0.1192500000E+03
        51    0.4460000000E+03    0.5266269952E+03    0.1166000000E+03
        52    0.4370000000E+03    0.5160094631E+03    0.1113000000E+03
        53    0.5020000000E+03    0.5478620594E+03    0.1272000000E+03
        54    0.4650000000E+03    0.5425532934E+03    0.1245500000E+03
        55    0.4750000000E+03    0.5213182292E+03    0.1139500000E+03
        56    0.5040000000E+03    0.5531708255E+03    0.1298500000E+03
        57    0.4860000000E+03    0.5319357613E+03    0.1192500000E+03
        58    0.4520000000E+03    0.5160094631E+03    0.1113000000E+03
        59    0.4590000000E+03    0.4868613326E+03    0.9675000000E+02
        60    0.4150000000E+03    0.4868613326E+03    0.9675000000E+02
        61    0.4370000000E+03    0.4868613326E+03    0.9675000000E+02
        62    0.4150000000E+03    0.4825542205E+03    0.9460000000E+02
        63    0.4010000000E+03    0.4739399963E+03    0.9030000000E+02
        64    0.4630000000E+03    0.4997826688E+03    0.1032000000E+03
        65    0.4420000000E+03    0.4954755567E+03    0.1010500000E+03
        66    0.4380000000E+03    0.4782471084E+03    0.9245000000E+02
        67    0.4680000000E+03    0.5040897809E+03    0.1053500000E+03
        68    0.4520000000E+03    0.4868613326E+03    0.9675000000E+02
        69    0.4220000000E+03    0.4739399963E+03    0.9030000000E+02
        70    0.4130000000E+03    0.4417869038E+03    0.7425000000E+02
        71    0.3950000000E+03    0.4417869038E+03    0.7425000000E+02
        72    0.3980000000E+03    0.4417869038E+03    0.7425000000E+02
        73    0.3780000000E+03    0.4384814457E+03    0.7260000000E+02
        74    0.3720000000E+03    0.4318705295E+03    0.6930000000E+02
        75    0.4150000000E+03    0.4517032781E+03    0.7920000000E+02
        76    0.3960000000E+03    0.4483978200E+03    0.7755000000E+02
        77    0.3880000000E+03    0.4351759876E+03    0.7095000000E+02
        78    0.4150000000E+03    0.4550087363E+03    0.8085000000E+02
        79    0.3980000000E+03    0.4417869038E+03    0.7425000000E+02
        80    0.3820000000E+03    0.4318705295E+03    0.6930000000E+02
        81    0.5230000000E+03    0.5629870344E+03    0.1347500000E+03
        82    0.5340000000E+03    0.5580789300E+03    0.1323000000E+03
        83    0.4890000000E+03    0.5482627210E+03    0.1274000000E+03
        84    0.5000000000E+03    0.5678951389E+03    0.1372000000E+03
        85    0.4950000000E+03    0.5580789300E+03    0.1323000000E+03
        86    0.5220000000E+03    0.5728032433E+03    0.1396500000E+03
        87    0.5310000000E+03    0.5531708255E+03    0.1298500000E+03
        88    0.5330000000E+03    0.5728032433E+03    0.1396500000E+03
        89    0.4920000000E+03    0.5678951389E+03    0.1372000000E+03
        90    0.5050000000E+03    0.5482627210E+03    0.1274000000E+03
        91    0.5410000000E+03    0.5580789300E+03    0.1323000000E+03
        92    0.4680000000E+03    0.5078960660E+03    0.1072500000E+03
        93    0.4590000000E+03    0.5039896155E+03    0.1053000000E+03
        94    0.4440000000E+03    0.4961767145E+03    0.1014000000E+03
        95    0.4580000000E+03    0.5118025165E+03    0.1092000000E+03
        96    0.4450000000E+03    0.5039896155E+03    0.1053000000E+03
        97    0.4640000000E+03    0.5157089669E+03    0.1111500000E+03
        98    0.4660000000E+03    0.5000831650E+03    0.1033500000E+03
        99    0.4860000000E+03    0.5157089669E+03    0.1111500000E+03
       100    0.4610000000E+03    0.5118025165E+03    0.1092000000E+03
       101    0.4640000000E+03    0.4961767145E+03    0.1014000000E+03
       102    0.4750000000E+03    0.5039896155E+03    0.1053000000E+03
       103    0.4190000000E+03    0.4528050975E+03    0.7975000000E+02
       104    0.4180000000E+03    0.4499003010E+03    0.7830000000E+02
       105    0.4020000000E+03    0.4440907080E+03    0.7540000000E+02
       106    0.3980000000E+03    0.4557098940E+03    0.8120000000E+02
       107    0.4110000000E+03    0.4499003010E+03    0.7830000000E+02
       108    0.4280000000E+03    0.4586146906E+03    0.8265000000E+02
       109    0.4150000000E+03    0.4469955045E+03    0.7685000000E+02
       110    0.4250000000E+03    0.4586146906E+03    0.8265000000E+02
       111    0.4120000000E+03    0.4557098940E+03    0.8120000000E+02
       112    0.4100000000E+03    0.4440907080E+03    0.7540000000E+02
       113    0.4150000000E+03    0.4499003010E+03    0.7830000000E+02
       114    0.5820000000E+03    0.5299324533E+03    0.1182500000E+03
       115    0.5240000000E+03    0.5244233565E+03    0.1155000000E+03
       116    0.5830000000E+03    0.5134051628E+03    0.1100000000E+03
       117    0.5690000000E+03    0.5244233565E+03    0.1155000000E+03
       118    0.5360000000E+03    0.5078960660E+03    0.1072500000E+03
       119    0.5770000000E+03    0.5244233565E+03    0.1155000000E+03
