     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2320000000E+03    0.2381995814E+03    0.1838077703E+02   -0.1918820911E+02   -0.3403846154E+04
         2    0.2350000000E+03    0.1782143658E+03    0.2008298850E+02   -0.2806365160E+02   -0.3540000000E+04
         3    0.2350000000E+03    0.2485792579E+03    0.2008298850E+02   -0.1778192275E+02   -0.3403846154E+04
         4    0.2410000000E+03    0.2386847225E+03    0.1889881575E+02   -0.1918820911E+02   -0.3403846154E+04
         5    0.2250000000E+03    0.1858406298E+03    0.1783176586E+02   -0.2302585093E+02   -0.4022727273E+04
         6    0.2450000000E+03    0.2479301949E+03    0.1938991221E+02   -0.1778192275E+02   -0.3403846154E+04
         7    0.2550000000E+03    0.2687855651E+03    0.2008298850E+02   -0.1630009586E+02   -0.3160714286E+04
         8    0.2450000000E+03    0.2496168145E+03    0.1938991221E+02   -0.1842068074E+02   -0.3277777778E+04
         9    0.2750000000E+03    0.2487776872E+03    0.2073126969E+02   -0.1875607145E+02   -0.3277777778E+04
        10    0.2390000000E+03    0.1955953061E+03    0.1962639786E+02   -0.2173346114E+02   -0.4022727273E+04
        11    0.2550000000E+03    0.2024638003E+03    0.1985731784E+02   -0.2192938184E+02   -0.3847826087E+04
        12    0.3970000000E+03    0.4079578014E+03    0.1720491060E+03   -0.1395506117E+02   -0.3555844156E+04
        13    0.4190000000E+03    0.4415093488E+03    0.2099897954E+03   -0.1395506117E+02   -0.3599806950E+04
        14    0.4010000000E+03    0.4134673511E+03    0.1864507797E+03   -0.1439115683E+02   -0.3672496025E+04
        15    0.3940000000E+03    0.4466500496E+03    0.2064299586E+03   -0.1262864322E+02   -0.3595634921E+04
        16    0.4260000000E+03    0.3990274108E+03    0.1771122528E+03   -0.1485538770E+02   -0.3734545455E+04
        17    0.4260000000E+03    0.4636391025E+03    0.2064299586E+03   -0.1082081045E+02   -0.3469172932E+04
        18    0.4540000000E+03    0.4236901084E+03    0.2027429184E+03   -0.1485538770E+02   -0.3719896332E+04
        19    0.4180000000E+03    0.4082324642E+03    0.1864507797E+03   -0.1397151073E+02   -0.3846960616E+04
        20    0.4160000000E+03    0.4517791536E+03    0.2064299586E+03   -0.1315762910E+02   -0.3408350658E+04
        21    0.3950000000E+03    0.4318039074E+03    0.1819013725E+03   -0.1209157896E+02   -0.3489721254E+04
        22    0.4330000000E+03    0.4329313026E+03    0.1819013725E+03   -0.1185461517E+02   -0.3497560060E+04
        23    0.3790000000E+03    0.4054851804E+03    0.1928851344E+03   -0.1406705358E+02   -0.4028521825E+04
        24    0.3820000000E+03    0.3796905603E+03    0.1418650523E+03   -0.1395506117E+02   -0.3555844156E+04
