     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2811501508E+03    0.0000000000E+00    0.3807883976E-01
         2    0.2350000000E+03    0.2456074611E+03    0.0000000000E+00    0.2953972308E+00
         3    0.2350000000E+03    0.2759950945E+03    0.0000000000E+00    0.7539989795E-01
         4    0.2410000000E+03    0.2811501508E+03    0.0000000000E+00    0.3807883976E-01
         5    0.2250000000E+03    0.2801938368E+03    0.0000000000E+00    0.4500226517E-01
         6    0.2450000000E+03    0.2759950945E+03    0.0000000000E+00    0.7539989795E-01
         7    0.2550000000E+03    0.2767390075E+03    0.0000000000E+00    0.7001419095E-01
         8    0.2450000000E+03    0.2813449554E+03    0.0000000000E+00    0.3666851236E-01
         9    0.2750000000E+03    0.2575024609E+03    0.0000000000E+00    0.2092810075E+00
        10    0.2390000000E+03    0.2741014976E+03    0.0000000000E+00    0.8910897030E-01
        11    0.2550000000E+03    0.2804640995E+03    0.0000000000E+00    0.4304564495E-01
        12    0.3970000000E+03    0.4133504046E+03    0.3993350302E+04    0.2828713811E-01
        13    0.4190000000E+03    0.4422052709E+03    0.4873973673E+04    0.2828713811E-01
        14    0.4010000000E+03    0.4201368824E+03    0.4203974422E+04    0.2911911276E-01
        15    0.3940000000E+03    0.4195557172E+03    0.4928243644E+04    0.2051369659E+00
        16    0.4260000000E+03    0.4092672042E+03    0.3875961828E+04    0.3000151011E-01
        17    0.4260000000E+03    0.4363224067E+03    0.5202034958E+04    0.1486996632E+00
        18    0.4540000000E+03    0.4276461089E+03    0.4436868708E+04    0.3000151011E-01
        19    0.4180000000E+03    0.4075941241E+03    0.3956681809E+04    0.6126241708E-01
        20    0.4160000000E+03    0.4486802836E+03    0.5065139301E+04    0.2675810361E-01
        21    0.3950000000E+03    0.4132609595E+03    0.4222026594E+04    0.8318104573E-01
        22    0.4330000000E+03    0.4253372153E+03    0.4463285256E+04    0.5298371207E-01
        23    0.3790000000E+03    0.3961395520E+03    0.4093225589E+04    0.1765808500E+00
        24    0.3820000000E+03    0.3925809200E+03    0.3359485175E+04    0.2828713811E-01
        25    0.3850000000E+03    0.4168556488E+03    0.4100327058E+04    0.2828713811E-01
        26    0.3650000000E+03    0.3982719381E+03    0.3536676895E+04    0.2911911276E-01
        27    0.3790000000E+03    0.3939238360E+03    0.4145982748E+04    0.2051369659E+00
        28    0.3770000000E+03    0.3891082591E+03    0.3260729792E+04    0.3000151011E-01
        29    0.3940000000E+03    0.4092665322E+03    0.4376315123E+04    0.1486996632E+00
