            Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
              2      235.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.25000        0.18000        0.44000        0.00900        0.01700        0.08000        0.12000        0.08000        0.00000
              3      235.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.26000        0.27000        0.43000        0.00800        0.01500        0.02000        0.03000        0.01000        0.00000
              4      241.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.26000        0.23000        0.51000        0.01800        0.02400        0.01000        0.02000        0.01000        0.00000
              6      245.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.26000        0.22000        0.45000        0.02600        0.02600        0.02000        0.05000        0.03000        0.00000
              7      255.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.28000        0.27000        0.50000        0.02100        0.01800        0.02000        0.03000        0.01000        0.00000
              8      245.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.27000        0.25000        0.54000        0.02000        0.02100        0.01000        0.02000        0.02000        0.00000
              9      275.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.27000        0.23000        0.37000        0.00800        0.03000        0.06000        0.10000        0.09000        0.00000
             11      255.00000      885.00000       30.00000       30.00000       30.00000       30.00000       30.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.23000        0.26000        0.51000        0.02900        0.02400        0.01000        0.03000        0.03000        0.00000
             12      397.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.35000        0.21000        0.77000        0.02100        0.02200        0.01000        0.01000        0.02000        0.00000
             13      419.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.35000        0.30000        0.74000        0.01700        0.02400        0.01000        0.10000        0.01000        0.00000
             14      401.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.34000        0.26000        0.74000        0.01200        0.01500        0.01000        0.02000        0.01000        0.00000
