            Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
             16      426.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.33000        0.21000        0.75000        0.03100        0.01900        0.01000        0.03000        0.02000        0.00000
             19      418.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.32000        0.26000        0.73000        0.01500        0.01900        0.02000        0.02000        0.03000        0.00000
             20      416.00000      865.00000      865.00000       30.00000       30.00000       30.00000      550.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.37000        0.27000        0.78000        0.01600        0.02000        0.01000        0.11000        0.02000        0.00000
             33      375.00000      865.00000      865.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.35000        0.25000        0.82000        0.01600        0.02300        0.03000        0.01000        0.01000        0.00000
             35      358.00000      865.00000      865.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.32000        0.21000        0.63000        0.00700        0.01700        0.06000        0.10000        0.08000        0.00000
             38      325.00000      865.00000      865.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.34000        0.26000        0.74000        0.01200        0.01500        0.01000        0.02000        0.01000        0.00000
             41      361.00000      865.00000      865.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.38000        0.29000        0.70000        0.01000        0.03000        0.06000        0.09000        0.11000        0.00000
             63      401.00000      845.00000      845.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.42000        0.22000        0.78000        0.02200        0.02000        0.01000        0.02000        0.03000        0.00000
             77      388.00000      845.00000      845.00000       30.00000       30.00000       30.00000      650.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.43000        0.22000        0.83000        0.01700        0.01600        0.01000        0.12000        0.01000        0.00000
             99      486.00000      825.00000      825.00000       30.00000       30.00000       30.00000      600.00000       30.00000        0.00000        0.00000       60.00000       24.00000       24.00000        0.57000        0.30000        0.82000        0.02400        0.02200        0.02000        0.10000        0.01000        0.00000
