     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2250586773E+03    0.9654893846E+00    0.7800000000E+01
         2    0.2350000000E+03    0.2674639498E+03    0.1817120593E+01    0.7500000000E+01
         3    0.2350000000E+03    0.2341245808E+03    0.1144714243E+01    0.7800000000E+01
         4    0.2410000000E+03    0.2250586773E+03    0.9654893846E+00    0.7800000000E+01
         5    0.2250000000E+03    0.2223642433E+03    0.9654893846E+00    0.6600000000E+01
         6    0.2450000000E+03    0.2409971669E+03    0.1280579165E+01    0.7800000000E+01
         7    0.2550000000E+03    0.2354717978E+03    0.1144714243E+01    0.8400000000E+01
         8    0.2450000000E+03    0.2257322858E+03    0.9654893846E+00    0.8100000000E+01
         9    0.2750000000E+03    0.2622223395E+03    0.1686865331E+01    0.8100000000E+01
        10    0.2390000000E+03    0.2272794457E+03    0.1062658569E+01    0.6600000000E+01
        11    0.2550000000E+03    0.2279530542E+03    0.1062658569E+01    0.6900000000E+01
        12    0.3970000000E+03    0.4253455701E+03    0.8434326653E+00    0.9975000000E+02
        13    0.4190000000E+03    0.4579910880E+03    0.1488805553E+01    0.9975000000E+02
        14    0.4010000000E+03    0.4251204019E+03    0.9654893846E+00    0.9690000000E+02
        15    0.3940000000E+03    0.4809978443E+03    0.1817120593E+01    0.1026000000E+03
        16    0.4260000000E+03    0.4236363235E+03    0.1062658569E+01    0.9405000000E+02
        17    0.4260000000E+03    0.4853915280E+03    0.1650963624E+01    0.1083000000E+03
        18    0.4540000000E+03    0.4451925265E+03    0.1488805553E+01    0.9405000000E+02
        19    0.4180000000E+03    0.4172370427E+03    0.1062658569E+01    0.9120000000E+02
        20    0.4160000000E+03    0.4730059004E+03    0.1532618865E+01    0.1054500000E+03
        21    0.3950000000E+03    0.4364348850E+03    0.1062658569E+01    0.9975000000E+02
        22    0.4330000000E+03    0.4492334465E+03    0.1062658569E+01    0.1054500000E+03
        23    0.3790000000E+03    0.4488118940E+03    0.1686865331E+01    0.9120000000E+02
        24    0.3820000000E+03    0.3860517410E+03    0.8434326653E+00    0.8225000000E+02
        25    0.3850000000E+03    0.4186972588E+03    0.1488805553E+01    0.8225000000E+02
        26    0.3650000000E+03    0.3869492535E+03    0.9654893846E+00    0.7990000000E+02
        27    0.3790000000E+03    0.4405813343E+03    0.1817120593E+01    0.8460000000E+02
