     Index       y_measurement           y_fitting        descriptor_1
         1    0.2320000000E+03    0.2435336130E+03    0.0000000000E+00
         2    0.2350000000E+03    0.2435336130E+03    0.0000000000E+00
         3    0.2350000000E+03    0.2435336130E+03    0.0000000000E+00
         4    0.2410000000E+03    0.2435336130E+03    0.0000000000E+00
         5    0.2250000000E+03    0.2435336130E+03    0.0000000000E+00
         6    0.2450000000E+03    0.2435336130E+03    0.0000000000E+00
         7    0.2550000000E+03    0.2435336130E+03    0.0000000000E+00
         8    0.2450000000E+03    0.2435336130E+03    0.0000000000E+00
         9    0.2750000000E+03    0.2435336130E+03    0.0000000000E+00
        10    0.2390000000E+03    0.2435336130E+03    0.0000000000E+00
        11    0.2550000000E+03    0.2435336130E+03    0.0000000000E+00
        12    0.3970000000E+03    0.5059059459E+03    0.6615000000E+04
        13    0.4190000000E+03    0.5059059459E+03    0.6615000000E+04
        14    0.4010000000E+03    0.4984095935E+03    0.6426000000E+04
        15    0.3940000000E+03    0.5134022982E+03    0.6804000000E+04
        16    0.4260000000E+03    0.4909132411E+03    0.6237000000E+04
        17    0.4260000000E+03    0.5283950030E+03    0.7182000000E+04
        18    0.4540000000E+03    0.4909132411E+03    0.6237000000E+04
        19    0.4180000000E+03    0.4834168888E+03    0.6048000000E+04
        20    0.4160000000E+03    0.5208986506E+03    0.6993000000E+04
        21    0.3950000000E+03    0.5059059459E+03    0.6615000000E+04
        22    0.4330000000E+03    0.5208986506E+03    0.6993000000E+04
        23    0.3790000000E+03    0.4834168888E+03    0.6048000000E+04
        24    0.3820000000E+03    0.4642595438E+03    0.5565000000E+04
        25    0.3850000000E+03    0.4642595438E+03    0.5565000000E+04
        26    0.3650000000E+03    0.4579530887E+03    0.5406000000E+04
        27    0.3790000000E+03    0.4705659990E+03    0.5724000000E+04
        28    0.3770000000E+03    0.4516466335E+03    0.5247000000E+04
        29    0.3940000000E+03    0.4831789093E+03    0.6042000000E+04
        30    0.4250000000E+03    0.4516466335E+03    0.5247000000E+04
        31    0.3950000000E+03    0.4453401783E+03    0.5088000000E+04
        32    0.3930000000E+03    0.4768724542E+03    0.5883000000E+04
        33    0.3750000000E+03    0.4642595438E+03    0.5565000000E+04
        34    0.3890000000E+03    0.4768724542E+03    0.5883000000E+04
        35    0.3580000000E+03    0.4453401783E+03    0.5088000000E+04
        36    0.3440000000E+03    0.4226131418E+03    0.4515000000E+04
        37    0.3690000000E+03    0.4226131418E+03    0.4515000000E+04
        38    0.3250000000E+03    0.4174965838E+03    0.4386000000E+04
        39    0.3380000000E+03    0.4277296998E+03    0.4644000000E+04
        40    0.3620000000E+03    0.4123800259E+03    0.4257000000E+04
        41    0.3610000000E+03    0.4379628157E+03    0.4902000000E+04
        42    0.3850000000E+03    0.4123800259E+03    0.4257000000E+04
        43    0.3480000000E+03    0.4072634679E+03    0.4128000000E+04
        44    0.3680000000E+03    0.4328462577E+03    0.4773000000E+04
        45    0.3410000000E+03    0.4226131418E+03    0.4515000000E+04
