     Index       y_measurement           y_fitting        descriptor_1
         1    0.2320000000E+03    0.2662192799E+03    0.1838077703E+02
         2    0.2350000000E+03    0.2679210681E+03    0.2008298850E+02
         3    0.2350000000E+03    0.2679210681E+03    0.2008298850E+02
         4    0.2410000000E+03    0.2667371898E+03    0.1889881575E+02
         5    0.2250000000E+03    0.2656704052E+03    0.1783176586E+02
         6    0.2450000000E+03    0.2672281641E+03    0.1938991221E+02
         7    0.2550000000E+03    0.2679210681E+03    0.2008298850E+02
         8    0.2450000000E+03    0.2672281641E+03    0.1938991221E+02
         9    0.2750000000E+03    0.2685691881E+03    0.2073126969E+02
        10    0.2390000000E+03    0.2674645910E+03    0.1962639786E+02
        11    0.2550000000E+03    0.2676954535E+03    0.1985731784E+02
        12    0.3970000000E+03    0.4560612544E+03    0.2082699704E+03
        13    0.4190000000E+03    0.5019780366E+03    0.2541981734E+03
        14    0.4010000000E+03    0.4734905242E+03    0.2257035754E+03
        15    0.3940000000E+03    0.4976698321E+03    0.2498888973E+03
        16    0.4260000000E+03    0.4621888028E+03    0.2143990429E+03
        17    0.4260000000E+03    0.4976698321E+03    0.2498888973E+03
        18    0.4540000000E+03    0.4932076826E+03    0.2454256380E+03
        19    0.4180000000E+03    0.4734905242E+03    0.2257035754E+03
        20    0.4160000000E+03    0.4976698321E+03    0.2498888973E+03
        21    0.3950000000E+03    0.4679847166E+03    0.2201963983E+03
        22    0.4330000000E+03    0.4679847166E+03    0.2201963983E+03
        23    0.3790000000E+03    0.4812775431E+03    0.2334925311E+03
        24    0.3820000000E+03    0.4258847064E+03    0.1780859167E+03
        25    0.3850000000E+03    0.4651468825E+03    0.2173578584E+03
        26    0.3650000000E+03    0.4407879951E+03    0.1929929123E+03
        27    0.3790000000E+03    0.4614630555E+03    0.2136731151E+03
        28    0.3770000000E+03    0.4311242044E+03    0.1833267179E+03
        29    0.3940000000E+03    0.4614630555E+03    0.2136731151E+03
        30    0.4250000000E+03    0.4576475944E+03    0.2098567050E+03
        31    0.3950000000E+03    0.4407879951E+03    0.1929929123E+03
        32    0.3930000000E+03    0.4614630555E+03    0.2136731151E+03
        33    0.3750000000E+03    0.4360801306E+03    0.1882838768E+03
        34    0.3890000000E+03    0.4360801306E+03    0.1882838768E+03
        35    0.3580000000E+03    0.4474464605E+03    0.1996530338E+03
        36    0.3440000000E+03    0.3957081585E+03    0.1479018631E+03
        37    0.3690000000E+03    0.4283157284E+03    0.1805175434E+03
        38    0.3250000000E+03    0.4080854660E+03    0.1602822492E+03
        39    0.3380000000E+03    0.4252562789E+03    0.1774573329E+03
        40    0.3620000000E+03    0.4000596059E+03    0.1522543928E+03
        41    0.3610000000E+03    0.4252562789E+03    0.1774573329E+03
        42    0.3850000000E+03    0.4220875061E+03    0.1742877719E+03
        43    0.3480000000E+03    0.4080854660E+03    0.1602822492E+03
        44    0.3680000000E+03    0.4252562789E+03    0.1774573329E+03
        45    0.3410000000E+03    0.4041755446E+03    0.1563713553E+03
        46    0.3650000000E+03    0.4041755446E+03    0.1563713553E+03
        47    0.3250000000E+03    0.4136153780E+03    0.1658135366E+03
        48    0.5130000000E+03    0.4831871214E+03    0.2354025844E+03
        49    0.4480000000E+03    0.4811043215E+03    0.2333192664E+03
        50    0.4650000000E+03    0.4653546812E+03    0.2175657088E+03
        51    0.4460000000E+03    0.4552228822E+03    0.2074313897E+03
        52    0.4370000000E+03    0.4497629634E+03    0.2019701129E+03
        53    0.5020000000E+03    0.4768233287E+03    0.2290372088E+03
        54    0.4650000000E+03    0.4629105237E+03    0.2151209433E+03
        55    0.4750000000E+03    0.4746214590E+03    0.2268347915E+03
        56    0.5040000000E+03    0.4768233287E+03    0.2290372088E+03
        57    0.4860000000E+03    0.4629105237E+03    0.2151209433E+03
        58    0.4520000000E+03    0.4789836473E+03    0.2311980648E+03
        59    0.4590000000E+03    0.4469803448E+03    0.1991868022E+03
        60    0.4150000000E+03    0.4452179757E+03    0.1974239947E+03
        61    0.4370000000E+03    0.4318913570E+03    0.1840940613E+03
        62    0.4150000000E+03    0.4233182962E+03    0.1755188682E+03
        63    0.4010000000E+03    0.4186983649E+03    0.1708977878E+03
        64    0.4630000000E+03    0.4415955971E+03    0.1938007151E+03
        65    0.4420000000E+03    0.4298232237E+03    0.1820254136E+03
        66    0.4380000000E+03    0.4397324767E+03    0.1919371313E+03
        67    0.4680000000E+03    0.4415955971E+03    0.1938007151E+03
        68    0.4520000000E+03    0.4298232237E+03    0.1820254136E+03
        69    0.4220000000E+03    0.4434235590E+03    0.1956291317E+03
        70    0.4130000000E+03    0.4107735682E+03    0.1629710200E+03
        71    0.3950000000E+03    0.4093316298E+03    0.1615287229E+03
        72    0.3980000000E+03    0.3984280327E+03    0.1506224138E+03
        73    0.3780000000E+03    0.3914137103E+03    0.1436063467E+03
        74    0.3720000000E+03    0.3876337665E+03    0.1398254628E+03
        75    0.4150000000E+03    0.4063678656E+03    0.1585642215E+03
        76    0.3960000000E+03    0.3967359236E+03    0.1489298838E+03
        77    0.3880000000E+03    0.4048434943E+03    0.1570394711E+03
        78    0.4150000000E+03    0.4063678656E+03    0.1585642215E+03
        79    0.3980000000E+03    0.3967359236E+03    0.1489298838E+03
        80    0.3820000000E+03    0.4078634708E+03    0.1600601987E+03
        81    0.5230000000E+03    0.4564082631E+03    0.2086170655E+03
        82    0.5340000000E+03    0.4687044108E+03    0.2209162715E+03
        83    0.4890000000E+03    0.4585585713E+03    0.2107679085E+03
        84    0.5000000000E+03    0.4706250405E+03    0.2228373790E+03
        85    0.4950000000E+03    0.4290876126E+03    0.1812896196E+03
        86    0.5220000000E+03    0.4627322360E+03    0.2149426113E+03
        87    0.5310000000E+03    0.4761968835E+03    0.2284106078E+03
        88    0.5330000000E+03    0.4725131133E+03    0.2247259214E+03
        89    0.4920000000E+03    0.4627322360E+03    0.2149426113E+03
        90    0.5050000000E+03    0.4542126770E+03    0.2064209333E+03
        91    0.5410000000E+03    0.4667497831E+03    0.2189611577E+03
        92    0.4680000000E+03    0.4222172485E+03    0.1744175466E+03
        93    0.4590000000E+03    0.4324976342E+03    0.1847004893E+03
        94    0.4440000000E+03    0.4240150471E+03    0.1762157924E+03
        95    0.4580000000E+03    0.4341034066E+03    0.1863066611E+03
        96    0.4450000000E+03    0.3993753931E+03    0.1515700098E+03
        97    0.4640000000E+03    0.4275045045E+03    0.1797061177E+03
        98    0.4660000000E+03    0.4387618327E+03    0.1909662459E+03
