     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2320000000E+03    0.2580827706E+03    0.0000000000E+00    0.4672669732E+01    0.8033333333E-03
         2    0.2350000000E+03    0.2768858595E+03    0.0000000000E+00    0.5360508134E+01    0.1266666667E-02
         3    0.2350000000E+03    0.2253306456E+03    0.0000000000E+00    0.3606668794E+01    0.3666666667E-04
         4    0.2410000000E+03    0.2512357582E+03    0.0000000000E+00    0.4265369653E+01    0.5866666667E-03
         5    0.2250000000E+03    0.2184035614E+03    0.0000000000E+00    0.5165413335E+01    0.4200000000E-03
         6    0.2450000000E+03    0.2613998641E+03    0.0000000000E+00    0.4341310761E+01    0.7466666667E-03
         7    0.2550000000E+03    0.2484059153E+03    0.0000000000E+00    0.3604923973E+01    0.3466666667E-03
         8    0.2450000000E+03    0.2421546244E+03    0.0000000000E+00    0.3923701139E+01    0.3600000000E-03
         9    0.2750000000E+03    0.2535758405E+03    0.0000000000E+00    0.4107850855E+01    0.5700000000E-03
        10    0.2390000000E+03    0.2587408204E+03    0.0000000000E+00    0.3782375833E+01    0.5400000000E-03
        11    0.2550000000E+03    0.2575810529E+03    0.0000000000E+00    0.3735299790E+01    0.5100000000E-03
        12    0.3970000000E+03    0.4067702602E+03    0.6615000000E+04    0.4717440421E+01    0.1284424593E-03
        13    0.4190000000E+03    0.4426723763E+03    0.6615000000E+04    0.3017483954E+01    0.9186547556E-04
        14    0.4010000000E+03    0.4184324576E+03    0.6426000000E+04    0.3771955373E+01    0.7316657909E-04
        15    0.3940000000E+03    0.4368535641E+03    0.6804000000E+04    0.3535559827E+01    0.9510667367E-04
        16    0.4260000000E+03    0.3959412852E+03    0.6237000000E+04    0.4624105147E+01    0.1078644246E-03
        17    0.4260000000E+03    0.4548351479E+03    0.7182000000E+04    0.3208384301E+01    0.8337782449E-04
        18    0.4540000000E+03    0.4209039711E+03    0.6237000000E+04    0.3481906014E+01    0.9459379926E-04
        19    0.4180000000E+03    0.4055528953E+03    0.6048000000E+04    0.3777956872E+01    0.5536311088E-04
        20    0.4160000000E+03    0.4503891537E+03    0.6993000000E+04    0.3319480406E+01    0.1343552286E-03
        21    0.3950000000E+03    0.4210766601E+03    0.6615000000E+04    0.3977662242E+01    0.9479768786E-04
        22    0.4330000000E+03    0.4308586856E+03    0.6993000000E+04    0.4093637151E+01    0.1082080925E-03
        23    0.3790000000E+03    0.3931628522E+03    0.6048000000E+04    0.4429274074E+01    0.8775197057E-04
        24    0.3820000000E+03    0.3750236449E+03    0.5565000000E+04    0.4717440421E+01    0.1281242775E-03
        25    0.3850000000E+03    0.4106454154E+03    0.5565000000E+04    0.3017483954E+01    0.8777456647E-04
        26    0.3650000000E+03    0.3875865835E+03    0.5406000000E+04    0.3771955373E+01    0.7277263969E-04
        27    0.3790000000E+03    0.4041364027E+03    0.5724000000E+04    0.3535559827E+01    0.9392485549E-04
        28    0.3770000000E+03    0.3660074112E+03    0.5247000000E+04    0.4624105147E+01    0.1075462428E-03
        29    0.3940000000E+03    0.4203277630E+03    0.6042000000E+04    0.3208384301E+01    0.8249903661E-04
        30    0.4250000000E+03    0.3907888294E+03    0.5247000000E+04    0.3481906014E+01    0.9183622351E-04
        31    0.3950000000E+03    0.3765197625E+03    0.5088000000E+04    0.3777956872E+01    0.5496917148E-04
        32    0.3930000000E+03    0.4165798504E+03    0.5883000000E+04    0.3319480406E+01    0.1306734104E-03
        33    0.3750000000E+03    0.3893536884E+03    0.5565000000E+04    0.3977662242E+01    0.9479768786E-04
        34    0.3890000000E+03    0.3973229727E+03    0.5883000000E+04    0.4093637151E+01    0.1082080925E-03
        35    0.3580000000E+03    0.3641117052E+03    0.5088000000E+04    0.4429274074E+01    0.8711560694E-04
